일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2),CDD_18,HDD_18,불쾌지수(DI)
2024-11-16 16:00:00,16.68386000000004,0.06912649,2.2240703112280644,76.35743424543804,0.35815,0.0,1.3161399999999617,61.50678725771235
2024-11-16 17:00:00,15.88918000000001,0.08139014,2.077525245764537,83.31218767045905,0.078016,0.0,2.1108199999999897,60.36184018941245
2024-11-16 18:00:00,15.478049999999996,0.11023879,1.953800150571849,89.1776996264099,0.001576,0.0,2.521950000000004,59.74974870107866
2024-11-16 19:00:00,15.222860000000026,0.19568205,2.069098148447275,94.27569969158289,0.0,0.0,2.7771399999999744,59.35703474439309
2024-11-16 20:00:00,14.873379999999997,0.47504902,2.0314924721595227,98.12003919715518,0.0,0.0,3.1266200000000026,58.76410081788923
2024-11-16 21:00:00,14.607500000000016,0.36597251999999997,1.804091111066142,99.34498960851488,0.0,0.0,3.392499999999984,58.292442649475575
2024-11-16 22:00:00,14.30600000000004,0.023439526999999998,2.134585072689279,99.40540283182142,0.0,0.0,3.69399999999996,57.751614954878775
2024-11-16 23:00:00,13.757530000000031,0.025644898,3.3358488263373953,99.23937968436972,0.0,0.0,4.242469999999969,56.76872656270734
2024-11-17 00:00:00,12.445640000000026,0.022932887,3.536048438481942,96.62073436410824,0.0,0.0,5.554359999999974,54.46902146260264
2024-11-17 01:00:00,10.83044000000001,0.013664365,3.460783530911337,93.30075905200165,0.0,0.0,7.16955999999999,51.73448175694867
2024-11-17 02:00:00,9.08077000000003,0.00067055225,3.5153801650228726,88.50167652963552,0.0,0.0,8.91922999999997,48.955951311144354
2024-11-17 03:00:00,7.613120000000038,0.00016391277,3.5083051257332563,82.3973722813154,0.0,0.0,10.386879999999962,46.894083684109006
2024-11-17 04:00:00,8.163200000000018,0.000852393,3.838745585285196,75.09293283985701,0.0,0.0,9.836799999999982,48.24258903454785
2024-11-17 05:00:00,7.2164600000000405,0.0,3.88624518857098,69.65751167407393,0.0,0.0,10.78353999999996,47.160846832892815
2024-11-17 06:00:00,6.603780000000029,0.0,3.8863007112403483,63.59767256359062,0.0,0.0,11.396219999999971,46.712446500814266
2024-11-17 07:00:00,6.221030000000042,0.0,3.9341932661072017,57.94716575082243,0.0,0.0,11.778969999999958,46.62145105748576
2024-11-17 08:00:00,5.9365999999999985,0.0,4.005286426358407,53.324048108015546,0.033768,0.0,12.063400000000001,46.61728620613442
